"No.","Time","Source","Destination","Protocol","Length","Info"
"172","2.115547","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","97","Protected Payload (KP0), DCID=d603a32879ac4a8c"
"173","2.132117","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1000:1::17","DNS","90","Standard query 0x7095 AAAA dns.google"
"174","2.132728","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1000:1::17","DNS","90","Standard query 0xeb16 A dns.google"
"175","2.133275","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1000:1::17","DNS","90","Standard query 0xcc9f HTTPS dns.google"
"176","2.133978","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","94","54970  >  443 Len=32"
"177","2.135358","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","94","Protected Payload (KP0), DCID=f0e07a8e665624b8"
"178","2.136588","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2003","TCP","86","58953  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"179","2.143717","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","157","58204  >  443 Len=95"
"180","2.144291","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","155","58204  >  443 Len=93"
"181","2.146150","2804:29b8:1000:1::17","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","DNS","146","Standard query response 0x7095 AAAA dns.google AAAA 2001:4860:4860::8888 AAAA 2001:4860:4860::8844"
"182","2.146726","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","91","443  >  58204 Len=29"
"183","2.147927","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","90","443  >  58204 Len=28"
"184","2.148155","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","98","58204  >  443 Len=36"
"185","2.154275","2804:29b8:1000:1::17","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","DNS","122","Standard query response 0xeb16 A dns.google A 8.8.4.4 A 8.8.8.8"
